Name,Type,Category,Country,lat,lon,geocode,Département
CENTRE DISPENSAIRE DE CHALON,node,hospital,HT,18.4097527,-73.0929299,"18.4097527 , -73.0929299",Nippes
Centre de Santé du Bon Samaritain,node,hospital,HT,18.5239278,-72.369636,"18.5239278 , -72.369636",Ouest
Centre de Santé Communautaire Triangle Uni-Santé,node,hospital,HT,18.5257548,-72.3386496,"18.5257548 , -72.3386496",Ouest
Dispensaire CITE MERICAIN,node,hospital,HT,18.5286981,-72.3145973,"18.5286981 , -72.3145973",Ouest
DISPENSAIRE COMMUNAUTAIRE DE BEAUCHAMPS,node,hospital,HT,19.8075922,-72.982387,"19.8075922 , -72.982387",Nord-Ouest
DISPENSAIRE POSTE METIER,node,hospital,HT,19.885769,-72.9219804,"19.885769 , -72.9219804",Nord-Ouest
DISPENSAIRE SAINTE THERESE DE CALUC,node,hospital,HT,19.7492719,-72.932769,"19.7492719 , -72.932769",Artibonite
Centre de sante communautaire des Trois Rivieres,node,hospital,HT,19.9363086,-72.8423484,"19.9363086 , -72.8423484",Nord-Ouest
DISPENSAIRE DE PASSE CADABOIS,node,hospital,HT,19.8311733,-72.9406632,"19.8311733 , -72.9406632",Nord-Ouest
CENTRE DE SANTE DE SAINT LOUIS DU NORD,node,hospital,HT,19.9316461,-72.7204333,"19.9316461 , -72.7204333",Nord-Ouest
CENTRE DE SANTE MISSION CHRETIENNE,node,hospital,HT,19.9313871,-72.7206567,"19.9313871 , -72.7206567",Nord-Ouest
DP DE BOUCAN BELIER,node,hospital,HT,18.2634404,-72.9545599,"18.2634404 , -72.9545599",Sud-Est
DP DE RICOT,node,hospital,HT,18.2602187,-72.9906794,"18.2602187 , -72.9906794",Sud-Est
DP DE GRIS GRIS,node,hospital,HT,18.2321646,-72.9407847,"18.2321646 , -72.9407847",Sud-Est
Centre de Santé de Cayes-Jacmel,node,hospital,HT,18.2311147,-72.3978668,"18.2311147 , -72.3978668",Sud-Est
FOND MICHEL,node,hospital,HT,18.710276,-72.157776,"18.710276 , -72.157776",Centre
DISPENSAIRE DE COLOMBIER,node,hospital,HT,18.7644266,-71.9526181,"18.7644266 , -71.9526181",Centre
DISPENSAIRE GRANDE HATTE,node,hospital,HT,19.1443358,-72.4301595,"19.1443358 , -72.4301595",Artibonite
Dispensaire Sainte-Claire,node,hospital,HT,19.26471,-72.51772,"19.26471 , -72.51772",Artibonite
DISPENSAIRE SANOIX,node,hospital,HT,19.2267368,-72.5812114,"19.2267368 , -72.5812114",Artibonite
DISPENSAIRE DESEAUX,node,hospital,HT,19.2607827,-72.5797423,"19.2607827 , -72.5797423",Artibonite
La SantT de vos Enfants,node,hospital,HT,19.0846131,-72.699654,"19.0846131 , -72.699654",Artibonite
DISPENSAIRE OGE,node,hospital,HT,19.2031205,-72.4982939,"19.2031205 , -72.4982939",Artibonite
DISPENSAIRE DE PELISSIER,node,hospital,HT,19.2301245,-72.550728,"19.2301245 , -72.550728",Artibonite
DISPENSAIRE POSTE - PIERROT,node,hospital,HT,19.2122587,-72.4551513,"19.2122587 , -72.4551513",Artibonite
DISPENSAIRE SAVANNE CARREE,node,hospital,HT,19.4416748,-72.438467,"19.4416748 , -72.438467",Artibonite
DISPENSAIRE CHENOT,node,hospital,HT,19.1539841,-72.3335348,"19.1539841 , -72.3335348",Artibonite
ABRICOT,node,hospital,HT,19.0661359,-72.0833463,"19.0661359 , -72.0833463",Centre
SELPETRE,node,hospital,HT,19.1403388,-72.1923528,"19.1403388 , -72.1923528",Centre
DISPENSAIRE SAINTE ROSE DE LIMA,node,hospital,HT,19.1381244,-72.3277091,"19.1381244 , -72.3277091",Artibonite
DISPENSAIRE ABRIOT,node,hospital,HT,19.06666,-72.116675,"19.06666 , -72.116675",Centre
BOIS - ROUGE,node,hospital,HT,19.112799,-72.21179,"19.112799 , -72.21179",Centre
DISPENSAIRE DE L'ERMITHE,node,hospital,HT,19.2519785,-72.2901929,"19.2519785 , -72.2901929",Artibonite
DISPENSAIRE LA CROIX,node,hospital,HT,19.1922827,-72.3232242,"19.1922827 , -72.3232242",Artibonite
DISPENSAIRE DE CINQUIEME,node,hospital,HT,19.1666662,-72.1499992,"19.1666662 , -72.1499992",Centre
OSSENANDE,node,hospital,HT,19.2024371,-72.1351419,"19.2024371 , -72.1351419",Centre
DISPENSAIRE DE OUANGOUMAN,node,hospital,HT,19.159679,-71.89257,"19.159679 , -71.89257",Centre
CENTRE DE SANTE PERE LOUIS FANESE LOUIS CHARLES,node,hospital,HT,19.1302773,-71.9867988,"19.1302773 , -71.9867988",Centre
Centre de santé de Thomonde,node,hospital,HT,19.0176122,-71.964794,"19.0176122 , -71.964794",Centre
DISPENSAIRE DE BOCBANIC,node,hospital,HT,19.0499988,-71.750002,"19.0499988 , -71.750002",Centre
DISPENSAIRE DE LA BELONNE,node,hospital,HT,19.166674,-72.05,"19.166674 , -72.05",Centre
DISPENSAIRE DE BAS DE SAULT,node,hospital,HT,19.452354,-72.32081,"19.452354 , -72.32081",Artibonite
DISPENSAIRE DE VILLACEAU,node,hospital,HT,19.9370624,-72.7378992,"19.9370624 , -72.7378992",Nord-Ouest
DISPENSAIRE DE DESGRANGES,node,hospital,HT,19.9245481,-72.7078345,"19.9245481 , -72.7078345",Nord-Ouest
DISPENSAIRE DE ZABRICO,node,hospital,HT,19.9129827,-72.6969345,"19.9129827 , -72.6969345",Nord-Ouest
Centre de sante Saint Joseph de Bonneau,node,hospital,HT,19.9060451,-72.6553388,"19.9060451 , -72.6553388",Nord-Ouest
Centre de Santé de Petit Trou de Nippes,node,hospital,HT,18.5274015,-73.5096684,"18.5274015 , -73.5096684",Nippes
DISPENSAIRE DE PETITE RIVIERE DE NIPPES,node,hospital,HT,18.47629,-73.242491,"18.47629 , -73.242491",Nippes
PROFAMIL,node,hospital,HT,18.2364999,-72.5313459,"18.2364999 , -72.5313459",Sud-Est
DP DE CAP ROUGE,node,hospital,HT,18.2698695,-72.4250541,"18.2698695 , -72.4250541",Sud-Est
CENTRE DE SANTE DE MARIGOT,node,hospital,HT,18.2316004,-72.3263724,"18.2316004 , -72.3263724",Sud-Est
CENTRE DE SANTE DE BELLE ANSE,node,hospital,HT,18.2378533,-72.063625,"18.2378533 , -72.063625",Sud-Est
DISPENSAIRE DE MAPOU,node,hospital,HT,18.264678,-71.97165,"18.264678 , -71.97165",Sud-Est
CENTRE DE SANTE TERRE - NEUVE,node,hospital,HT,19.5988616,-72.7807495,"19.5988616 , -72.7807495",Artibonite
RABOTEAU CLINIC SOCIAL MEDICAL CENTER,node,hospital,HT,18.966666,-72.683333,"18.966666 , -72.683333",Ouest
Hôpital Borgne,node,hospital,HT,19.85,-72.533333,"19.85 , -72.533333",Nord
THIOTE HOSPITAL BON BERGER,node,hospital,HT,18.25,-71.85,"18.25 , -71.85",Sud-Est
MOMBIN CROCHU HOSPITAL MOMBIN CROCHU,node,hospital,HT,19.366666,-71.983333,"19.366666 , -71.983333",Nord
Hospital Saint Antoine,node,hospital,HT,19.1166099,-72.6998676,"19.1166099 , -72.6998676",Artibonite
Hopital Terre-Neuve,node,hospital,HT,19.599444,-72.781111,"19.599444 , -72.781111",Artibonite
DISPENSAIRE GRAND GOSIER,node,hospital,HT,18.1865188,-71.9181921,"18.1865188 , -71.9181921",Sud-Est
CENTRE DE SANTE DE THIOTTE,node,hospital,HT,18.2365372,-71.8601155,"18.2365372 , -71.8601155",Sud-Est
centre de santé de Kenscoff,node,hospital,HT,18.4485117,-72.2848762,"18.4485117 , -72.2848762",Ouest
PORT AU PRINCE HOSPITAL MINUSTAH,node,hospital,HT,18.576111,-72.278888,"18.576111 , -72.278888",Ouest
Port-au-Prince clinic MULTIMED 1,node,hospital,HT,18.537222,-72.345555,"18.537222 , -72.345555",Ouest
Hôpital Saint Damien,node,hospital,HT,18.570555,-72.253333,"18.570555 , -72.253333",Ouest
Hôpital Renaissance,node,hospital,HT,18.5485229,-72.3395181,"18.5485229 , -72.3395181",Ouest
Hospital Saint Charbel,node,hospital,HT,18.5467,-72.3047,"18.5467 , -72.3047",Ouest
Hôpital MSF,node,hospital,HT,18.5352,-72.3077,"18.5352 , -72.3077",Ouest
Laboratoire Radiologique,node,hospital,HT,18.5399732,-72.3382938,"18.5399732 , -72.3382938",Ouest
OUANAMINTHE HOSPITAL OUANAMINTHE,node,hospital,HT,19.55,-71.733333,"19.55 , -71.733333",Nord-Est
unknown name,node,hospital,HT,19.6125015,-72.0267692,"19.6125015 , -72.0267692",Nord-Est
MONT ORGANISE HOSPITAL MONT ORGANISE,node,hospital,HT,19.366666,-71.783333,"19.366666 , -71.783333",Nord-Est
PORT MARGOT HOSPITAL WESLEYAN (FAUCHE),node,hospital,HT,19.75,-72.433333,"19.75 , -72.433333",Nord
Hôpital de Plaisance,node,hospital,HT,19.5997377,-72.4677224,"19.5997377 , -72.4677224",Nord
ABRICOTS HOSPITAL MATERNITE DES ABRICOTS,node,hospital,HT,18.5,-73.783333,"18.5 , -73.783333",Grande'Anse
Hôpital Argentin,node,hospital,HT,18.5541668,-72.2486111,"18.5541668 , -72.2486111",Ouest
CENTRE JEUNES DE CHRIST-ROI,node,hospital,HT,18.5390066,-72.3349898,"18.5390066 , -72.3349898",Ouest
Cepoz Centre Espoir,node,hospital,HT,18.5390031,-72.3350118,"18.5390031 , -72.3350118",Ouest
INSTITUT FAME PEREO,node,hospital,HT,18.539,-72.335,"18.539 , -72.335",Ouest
SANATORIUM DE PORT AU PRINCE,node,hospital,HT,18.5389977,-72.3349847,"18.5389977 , -72.3349847",Ouest
Medical Center,node,hospital,HT,18.53781,-72.340329,"18.53781 , -72.340329",Ouest
Hôpital Saint Joseph,node,hospital,HT,18.5366,-72.3275,"18.5366 , -72.3275",Ouest
Hôpital Français,node,hospital,HT,18.5387,-72.3444,"18.5387 , -72.3444",Ouest
Medical Center near Morne a Tuf,node,hospital,HT,18.5383098,-72.3438651,"18.5383098 , -72.3438651",Ouest
Medical Center,node,hospital,HT,18.5372801,-72.3452599,"18.5372801 , -72.3452599",Ouest
Centre de Santé du Portail Léogane,node,hospital,HT,18.5348538,-72.3472913,"18.5348538 , -72.3472913",Ouest
Medical Center,node,hospital,HT,18.5349041,-72.3421327,"18.5349041 , -72.3421327",Ouest
unknown name,node,hospital,HT,18.5355194,-72.342035,"18.5355194 , -72.342035",Ouest
Medical Center,node,hospital,HT,18.5496899,-72.3472799,"18.5496899 , -72.3472799",Ouest
Clinique Communautaire de Martissant,node,hospital,HT,18.528,-72.349,"18.528 , -72.349",Ouest
Medical Center,node,hospital,HT,18.5604,-72.3419,"18.5604 , -72.3419",Ouest
Medical Center near Boulevard la Saline,node,hospital,HT,18.56023,-72.34035,"18.56023 , -72.34035",Ouest
CENTRE LAKAY DE PETION-VILLE,node,hospital,HT,18.513,-72.286,"18.513 , -72.286",Ouest
Hospital Caritas,node,hospital,HT,18.5700717,-72.3231455,"18.5700717 , -72.3231455",Ouest
Medical Center near R9,node,hospital,HT,18.58138,-72.32724,"18.58138 , -72.32724",Ouest
Hospital Medicos Sem Fronteiras,node,hospital,HT,18.5564,-72.3247,"18.5564 , -72.3247",Ouest
Medical Center near Blanchard,node,hospital,HT,18.59521,-72.31475,"18.59521 , -72.31475",Ouest
CENTRE JEUNES DE LEOGANE,node,hospital,HT,18.511,-72.634,"18.511 , -72.634",Ouest
C /S PETIT PLACE CAZEAU,node,hospital,HT,18.571,-72.279,"18.571 , -72.279",Ouest
CENTRE JEUNES PLAINE DU CUL DE SAC,node,hospital,HT,18.6,-72.167,"18.6 , -72.167",Ouest
FOSREF J. DE JEREMIE,node,hospital,HT,18.388,-72.617,"18.388 , -72.617",Sud-Est
CENTRE DE SANTE STE-ELISABETH,node,hospital,HT,18.467,-71.983,"18.467 , -71.983",Ouest
CLINIQUE MEDICO-CHIRURGICALE DUGUE,node,hospital,HT,18.417,-72.833,"18.417 , -72.833",Ouest
CENTRE LAKAY DE MARIANI,node,hospital,HT,18.538,-72.61,"18.538 , -72.61",Ouest
HOPITAL WESLEYEN DE LA GONAVE,node,hospital,HT,18.487,-72.181,"18.487 , -72.181",Ouest
Centre de Santé de Morne Hercule,node,hospital,HT,18.517,-72.3,"18.517 , -72.3",Ouest
Hôpital Communautaire de Mirebalais (MARCH CITY-MED),node,hospital,HT,18.917,-72.583,"18.917 , -72.583",Ouest
CENTRE DE SANTE DE RABOTEAU,node,hospital,HT,18.333,-72.733,"18.333 , -72.733",Ouest
SADA - FONDS BAPTISTE,node,hospital,HT,18.924011,-72.584796,"18.924011 , -72.584796",Ouest
DISPENSAIRE DE CAPOTILLE,node,hospital,HT,19.447666,-71.693153,"19.447666 , -71.693153",Nord-Est
CHOSCAL-Centre Hospitalier Sainte-Catherine Laboure,node,hospital,HT,18.126,-73.888,"18.126 , -73.888",Sud
CENTRE LAKAY DES CAYES,node,hospital,HT,18.267,-73.75,"18.267 , -73.75",Sud
La Fanmy,node,hospital,HT,18.267,-73.783,"18.267 , -73.783",Sud
DISPENSAIRE DE CHANTAL,node,hospital,HT,18.2,-73.883,"18.2 , -73.883",Sud
Hôpital de l'Université d'État d'Haïti (HUEH),node,hospital,HT,18.484814,-73.343812,"18.484814 , -73.343812",Nippes
HOSPITAL ARMEE DU SALUT/CLINIC BETHEL,node,hospital,HT,18.567,-73.617,"18.567 , -73.617",Nippes
Centre de Santé Lucelia Bontemps,node,hospital,HT,18.333,-73.35,"18.333 , -73.35",Nippes
Centre de santé Sainte Hélène (CSSH),node,hospital,HT,18.633,-74.167,"18.633 , -74.167",Grande'Anse
MATERNITE ISAIE JEANTY,node,hospital,HT,18.388,-73.5,"18.388 , -73.5",Nippes
CENTRE JEUNES DE DELMAS 19,node,hospital,HT,18.433,-73.45,"18.433 , -73.45",Nippes
CENTRE MEDICAL CHARLES COLIMON,node,hospital,HT,18.567,-74.1,"18.567 , -74.1",Grande'Anse
CARE SOS FRANCE,node,hospital,HT,19.817,-73.383,"19.817 , -73.383",Nord-Ouest
HAS PLASSAC UF 8,node,hospital,HT,18.7,-71.9167,"18.7 , -71.9167",Ouest
BOIS NEUF / FOSREF,node,hospital,HT,18.825,-73.037,"18.825 , -73.037",Ouest
HOPITAL NOTRE DAME DE LA PAIX JN RABEL,node,hospital,HT,19.45,-71.8,"19.45 , -71.8",Nord-Est
SADA - BELLANGER,node,hospital,HT,18.733,-72.433,"18.733 , -72.433",Ouest
CS CAMPECHE,node,hospital,HT,19.667,-72.667,"19.667 , -72.667",Artibonite
SADA - SOURCE MATELAS,node,hospital,HT,18.717,-72.367,"18.717 , -72.367",Ouest
HAS DESLANDES (UF9),node,hospital,HT,18.9497,-72.317,"18.9497 , -72.317",Artibonite
OEUVRES DE BIENFAISANCE DE CARREFOUR ET DE GRESSIER,node,hospital,HT,18.5462987,-72.5157661,"18.5462987 , -72.5157661",Ouest
CENTRE DE SANTE DE MARIGOT,node,hospital,HT,19.6169845,-71.7830164,"19.6169845 , -71.7830164",Nord-Est
FONDEFH BIZOTON,node,hospital,HT,19.75,-72.45,"19.75 , -72.45",Nord
FOSREF LAKAY PORT-DE-PAIX,node,hospital,HT,19.933502,-72.811643,"19.933502 , -72.811643",Nord-Ouest
FILLES CHARITE/C.N.S.R.R,node,hospital,HT,19.733,-72.15,"19.733 , -72.15",Nord
CS LA FOSSETTE,node,hospital,HT,19.766,-72.667,"19.766 , -72.667",Artibonite
HOPITAL DE SAINT MICHEL,node,hospital,HT,19.767,-72.35,"19.767 , -72.35",Nord
Dispensaire Amalia,node,hospital,HT,18.262705,-72.711015,"18.262705 , -72.711015",Sud-Est
Dispensaire Ricot,node,hospital,HT,18.2781944,-72.0860463,"18.2781944 , -72.0860463",Sud-Est
Dispensaire Orangers,node,hospital,HT,18.2124871,-72.7888378,"18.2124871 , -72.7888378",Sud-Est
CSL Sacré Coeur,node,hospital,HT,18.215464,-71.853079,"18.215464 , -71.853079",Sud-Est
Dispensaire Saurel,node,hospital,HT,18.212487,-72.788837,"18.212487 , -72.788837",Sud-Est
Dispensaire Bahot,node,hospital,HT,18.212487,-72.788837,"18.212487 , -72.788837",Sud-Est
Dispensaire Mare Blanche,node,hospital,HT,18.215464,-71.853079,"18.215464 , -71.853079",Sud-Est
Dispensaire Saint Joseph,node,hospital,HT,18.231494,-72.9487737,"18.231494 , -72.9487737",Sud-Est
Dispensaire Bras gauche,node,hospital,HT,18.212487,-72.788837,"18.212487 , -72.788837",Sud-Est
Dispensaire Morne a Brûler,node,hospital,HT,18.2627058,-72.7110152,"18.2627058 , -72.7110152",Sud-Est
Dispensaire Bleck,node,hospital,HT,18.2154631,-71.8530729,"18.2154631 , -71.8530729",Sud-Est
Dispensaire Brésilienne,node,hospital,HT,18.212487,-72.788837,"18.212487 , -72.788837",Sud-Est
Dispensaire Chomeille,node,hospital,HT,18.212487,-72.788837,"18.212487 , -72.788837",Sud-Est
Centre de sante Emmanuel Baptiste,node,hospital,HT,18.2614284,-72.402641,"18.2614284 , -72.402641",Sud-Est
Dispensaire La Montagne,node,hospital,HT,18.296408,-72.524077,"18.296408 , -72.524077",Sud-Est
C/S Saint-esprit,node,hospital,HT,18.5396003,-72.1840218,"18.5396003 , -72.1840218",Ouest
Dispensaire Seguin,node,hospital,HT,18.287233,-72.296595,"18.287233 , -72.296595",Sud-Est
SIF,node,hospital,HT,18.539474,-72.183933,"18.539474 , -72.183933",Ouest
C/S Lespwa,node,hospital,HT,18.539474,-72.183933,"18.539474 , -72.183933",Ouest
Dispensaire Grande Riviere,node,hospital,HT,18.287233,-72.296595,"18.287233 , -72.296595",Sud-Est
Dispensaire Bellevue la Montagne,node,hospital,HT,18.296408,-72.524077,"18.296408 , -72.524077",Sud-Est
Kay Lavi,node,hospital,HT,18.539474,-72.183933,"18.539474 , -72.183933",Ouest
Ag/s,node,hospital,HT,18.539474,-72.183933,"18.539474 , -72.183933",Ouest
CSE,node,hospital,HT,18.539474,-72.183933,"18.539474 , -72.183933",Ouest
C/S Maison,node,hospital,HT,18.539474,-72.183933,"18.539474 , -72.183933",Ouest
FBSA/CMS,node,hospital,HT,18.539474,-72.183933,"18.539474 , -72.183933",Ouest
Centre a lits Christian Martinez,node,hospital,HT,18.2964088,-72.5240772,"18.2964088 , -72.5240772",Sud-Est
Disp La Trouble,node,hospital,HT,19.5945082,-72.478838,"19.5945082 , -72.478838",Nord
CMP Progressio,node,hospital,HT,19.5945432,-72.4789475,"19.5945432 , -72.4789475",Nord
Disp de Gobert,node,hospital,HT,19.594571,-72.4788615,"19.594571 , -72.4788615",Nord
Grison Garde (NF),node,hospital,HT,19.6437274,-72.3334459,"19.6437274 , -72.3334459",Nord
Disp Catholique,node,hospital,HT,19.3993733,-72.0575757,"19.3993733 , -72.0575757",Nord
Dispensaire de Plaine du Nord,node,hospital,HT,19.6804752,-72.2689024,"19.6804752 , -72.2689024",Nord
Disp de Pilatre,node,hospital,HT,19.6436263,-72.3332116,"19.6436263 , -72.3332116",Nord
Nativité,node,hospital,HT,19.6439159,-72.3333873,"19.6439159 , -72.3333873",Nord
Disp de Soufrière,node,hospital,HT,19.6438056,-72.3332262,"19.6438056 , -72.3332262",Nord
Palmary,node,hospital,HT,19.399373,-72.057575,"19.399373 , -72.057575",Nord
Disp St Yves de Thibault,node,hospital,HT,19.6534189,-72.2179367,"19.6534189 , -72.2179367",Nord
Dispensaire Saint Joseph,node,hospital,HT,19.3507132,-72.0219336,"19.3507132 , -72.0219336",Nord
Disp Cath de Pt Bourg,node,hospital,HT,19.753971,-72.4639,"19.753971 , -72.4639",Nord
Disp de Bas Limbé,node,hospital,HT,19.7602785,-72.3953162,"19.7602785 , -72.3953162",Nord
Dispensaire de Labadie,node,hospital,HT,19.749253,-72.218767,"19.749253 , -72.218767",Nord
"Dispensaire Solano SA, Labadie",node,hospital,HT,19.7492534,-72.2187677,"19.7492534 , -72.2187677",Nord
CSL de Port Margot,node,hospital,HT,19.753971,-72.4639,"19.753971 , -72.4639",Nord
CAL de Pilate,node,hospital,HT,19.6927665,-72.5529376,"19.6927665 , -72.5529376",Nord
Grande Saline,node,hospital,HT,19.2581115,-72.7009708,"19.2581115 , -72.7009708",Artibonite
Barbe,node,hospital,HT,19.025578,-72.490697,"19.025578 , -72.490697",Artibonite
Poteneau,node,hospital,HT,19.25815,-72.700908,"19.25815 , -72.700908",Artibonite
Albert Schweitzer,node,hospital,HT,19.0253395,-72.4906009,"19.0253395 , -72.4906009",Artibonite
Disp. Descahos,node,hospital,HT,19.3109325,-72.6893555,"19.3109325 , -72.6893555",Artibonite
CSL St Pierre,node,hospital,HT,19.310932,-72.689355,"19.310932 , -72.689355",Artibonite
Passe Reine,node,hospital,HT,19.490461,-72.483496,"19.490461 , -72.483496",Artibonite
New Testament la Croix Perisse,node,hospital,HT,19.3558639,-72.621532,"19.3558639 , -72.621532",Artibonite
Clinique Dr Baudin,node,hospital,HT,19.4934101,-72.6256637,"19.4934101 , -72.6256637",Artibonite
Mapou Lagon,node,hospital,HT,19.355857,-72.6215,"19.355857 , -72.6215",Artibonite
TERRE BLANCHE,node,hospital,HT,19.4934029,-72.6255835,"19.4934029 , -72.6255835",Artibonite
Disp. Plaine de l’Arbre,node,hospital,HT,19.6433799,-72.9592441,"19.6433799 , -72.9592441",Artibonite
BRUNETTE,node,hospital,HT,19.4933795,-72.625614,"19.4933795 , -72.625614",Artibonite
TARASSE,node,hospital,HT,19.4933948,-72.6256379,"19.4933948 , -72.6256379",Artibonite
Rouf,node,hospital,HT,19.490461,-72.483496,"19.490461 , -72.483496",Artibonite
BRUNETTE,node,hospital,HT,19.4934245,-72.6256188,"19.4934245 , -72.6256188",Artibonite
Disp St Henry de Puilboreau,node,hospital,HT,19.5944905,-72.4789278,"19.5944905 , -72.4789278",Nord
Deslandes,node,hospital,HT,19.070414,-72.357094,"19.070414 , -72.357094",Artibonite
Savanne à Roche,node,hospital,HT,19.0704143,-72.3570944,"19.0704143 , -72.3570944",Artibonite
Dispensaire de Dupity,node,hospital,HT,19.521803,-72.063502,"19.521803 , -72.063502",Nord-Est
Dispensaire de Jacquezyl,node,hospital,HT,19.6714426,-72.0318155,"19.6714426 , -72.0318155",Nord-Est
Dispensaire de Roche Plate,node,hospital,HT,19.586232,-72.01622,"19.586232 , -72.01622",Nord-Est
Dispensaire de Vallières,node,hospital,HT,19.443536,-71.954483,"19.443536 , -71.954483",Nord-Est
Disp de Caracol,node,hospital,HT,19.6706395,-72.0309411,"19.6706395 , -72.0309411",Nord-Est
CAL de Mont Organise,node,hospital,HT,19.3874036,-71.784737,"19.3874036 , -71.784737",Nord-Est
CAL de Trou du Nord,node,hospital,HT,19.5862238,-72.0162173,"19.5862238 , -72.0162173",Nord-Est
Dispensaire de Carice,node,hospital,HT,19.352602,-71.821034,"19.352602 , -71.821034",Nord-Est
Dispensaire Sainte Hélène de Carice,node,hospital,HT,19.3526026,-71.8210348,"19.3526026 , -71.8210348",Nord-Est
Dispensaire de Grosse Roche,node,hospital,HT,19.443536,-71.9544835,"19.443536 , -71.9544835",Nord-Est
CSL,node,hospital,HT,19.5254997,-72.375645,"19.5254997 , -72.375645",Nord
Dispensaire de Sainte Suzanne,node,hospital,HT,19.521803,-72.063502,"19.521803 , -72.063502",Nord-Est
Dispensaire de Perches,node,hospital,HT,19.5178057,-71.9346675,"19.5178057 , -71.9346675",Nord-Est
Corail,node,hospital,HT,19.7014618,-72.705455,"19.7014618 , -72.705455",Artibonite
Charbe,node,hospital,HT,19.7014772,-72.7054517,"19.7014772 , -72.7054517",Artibonite
Decostiere,node,hospital,HT,19.7014731,-72.7054667,"19.7014731 , -72.7054667",Artibonite
Pérou,node,hospital,HT,19.7014888,-72.705459,"19.7014888 , -72.705459",Artibonite
World Vision BD,node,hospital,HT,18.282439,-73.531349,"18.282439 , -73.531349",Sud
Cavaillon NDPS,node,hospital,HT,18.342617,-73.632535,"18.342617 , -73.632535",Sud
Quatre Chemins,node,hospital,HT,18.300737,-73.761431,"18.300737 , -73.761431",Sud
Ste Hélène,node,hospital,HT,18.280881,-73.218883,"18.280881 , -73.218883",Sud
Carpentier,node,hospital,HT,18.1173394,-73.9056234,"18.1173394 , -73.9056234",Sud
Terre des Hommes,node,hospital,HT,18.3009073,-73.7614862,"18.3009073 , -73.7614862",Sud
Coteaux,node,hospital,HT,18.24045,-74.02541,"18.24045 , -74.02541",Sud
LKTMBD,node,hospital,HT,18.3007108,-73.7616448,"18.3007108 , -73.7616448",Sud
Damassin,node,hospital,HT,18.24045,-74.02541,"18.24045 , -74.02541",Sud
Bur/Enic,node,hospital,HT,18.3005602,-73.7614931,"18.3005602 , -73.7614931",Sud
Charles Pasqua,node,hospital,HT,18.280881,-73.218883,"18.280881 , -73.218883",Sud
CS Aquin,node,hospital,HT,18.2808819,-73.2188832,"18.2808819 , -73.2188832",Sud
HIC,node,hospital,HT,18.3008745,-73.7611896,"18.3008745 , -73.7611896",Sud
Com. Bonne Fin,node,hospital,HT,18.3426172,-73.6325356,"18.3426172 , -73.6325356",Sud
Cherette,node,hospital,HT,18.282439,-73.531349,"18.282439 , -73.531349",Sud
Centre de Santé de Savanette,node,hospital,HT,18.7449602,-71.8218969,"18.7449602 , -71.8218969",Centre
Dispensaire Grand Boucan (NF),node,hospital,HT,18.785057,-72.081949,"18.785057 , -72.081949",Centre
Hôpital Eye Care,node,hospital,HT,18.785057,-72.081949,"18.785057 , -72.081949",Centre
Dispensaire de Colombier,node,hospital,HT,18.7447576,-71.8213226,"18.7447576 , -71.8213226",Centre
Dispensaire Pareidon (NF),node,hospital,HT,18.866679,-71.950696,"18.866679 , -71.950696",Centre
Dispensaire Caste,node,hospital,HT,18.866679,-71.950696,"18.866679 , -71.950696",Centre
Dispensaire la Hoye,node,hospital,HT,18.8666797,-71.9506963,"18.8666797 , -71.9506963",Centre
Clinique Mennonite,node,hospital,HT,18.785057,-72.081949,"18.785057 , -72.081949",Centre
Dispensaire Fonds Michel,node,hospital,HT,18.785057,-72.081949,"18.785057 , -72.081949",Centre
Dispensaire de Croix de fer,node,hospital,HT,18.863227,-71.81155,"18.863227 , -71.81155",Centre
Dispensaire Bassin Cave (NF),node,hospital,HT,19.188423,-72.178987,"19.188423 , -72.178987",Centre
Dispensaire Hatty (NF),node,hospital,HT,19.1884256,-72.1789841,"19.1884256 , -72.1789841",Centre
Centre de Santé de Thomonde,node,hospital,HT,18.9995944,-71.9929378,"18.9995944 , -71.9929378",Centre
Dispensaire de Pacasse (NF),node,hospital,HT,19.187309,-71.748498,"19.187309 , -71.748498",Centre
Dispensaire de Baltazar (NF),node,hospital,HT,19.187309,-71.748498,"19.187309 , -71.748498",Centre
Centre de Santé Nan Cajou,node,hospital,HT,19.187309,-71.748498,"19.187309 , -71.748498",Centre
Dispensaire de Saltadère,node,hospital,HT,19.187309,-71.748498,"19.187309 , -71.748498",Centre
Dispensaire Ti Lory,node,hospital,HT,19.1873091,-71.7484985,"19.1873091 , -71.7484985",Centre
Saint Joseph de Carcasse,node,hospital,HT,18.3722099,-74.4473329,"18.3722099 , -74.4473329",Grande'Anse
Sainte Hélène d'Anse d'Hainault,node,hospital,HT,18.460636,-74.398658,"18.460636 , -74.398658",Grande'Anse
Chemen La vi de Bonbon,node,hospital,HT,18.630669,-74.237501,"18.630669 , -74.237501",Grande'Anse
HHF de Bonbon,node,hospital,HT,18.630669,-74.237501,"18.630669 , -74.237501",Grande'Anse
SKS Petite Rivière de Dame Marie,node,hospital,HT,18.5576703,-74.3957517,"18.5576703 , -74.3957517",Grande'Anse
Sidp. De Saint Victor de Abricots,node,hospital,HT,18.6150255,-74.3156886,"18.6150255 , -74.3156886",Grande'Anse
HHF de Moron,node,hospital,HT,18.4771329,-74.2653214,"18.4771329 , -74.2653214",Grande'Anse
